,CBSA Code,Date,AQI,Category,Defining Parameter,Number of Sites Reporting,city_ascii,state_id,state_name,lat,lng,population,density,timezone
57140,17340,04/08/2021,34,Good,Ozone,1,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57141,17340,05/08/2021,34,Good,Ozone,1,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57142,17340,06/08/2021,37,Good,Ozone,1,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57143,17340,07/08/2021,46,Good,Ozone,1,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57144,17340,08/08/2021,88,Moderate,PM2.5,3,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57145,17340,09/08/2021,42,Good,Ozone,1,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57146,17340,10/08/2021,39,Good,Ozone,1,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57147,17340,11/08/2021,31,Good,Ozone,1,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57148,17340,12/08/2021,29,Good,Ozone,1,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57149,17340,13/08/2021,38,Good,Ozone,1,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57150,17340,14/08/2021,97,Moderate,PM2.5,3,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57151,17340,15/08/2021,35,Good,Ozone,1,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57152,17340,16/08/2021,24,Good,Ozone,1,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57153,17340,17/08/2021,31,Good,Ozone,1,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57154,17340,18/08/2021,48,Good,Ozone,1,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57155,17340,19/08/2021,45,Good,Ozone,1,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57156,17340,20/08/2021,156,Unhealthy,PM2.5,3,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57157,17340,21/08/2021,25,Good,Ozone,1,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57158,17340,22/08/2021,42,Good,Ozone,1,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57159,17340,23/08/2021,43,Good,Ozone,1,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57160,17340,24/08/2021,43,Good,Ozone,1,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57161,17340,25/08/2021,35,Good,Ozone,1,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57162,17340,26/08/2021,56,Moderate,PM2.5,3,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57163,17340,27/08/2021,45,Good,Ozone,1,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57164,17340,28/08/2021,50,Good,Ozone,1,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57165,17340,29/08/2021,51,Moderate,Ozone,1,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57166,17340,30/08/2021,43,Good,Ozone,1,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57167,17340,31/08/2021,41,Good,Ozone,1,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57168,17340,01/09/2021,46,Good,PM2.5,3,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57169,17340,02/09/2021,37,Good,Ozone,1,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
57170,17340,03/09/2021,48,Good,Ozone,1,Clearlake,CA,California,38.9589,-122.633,15329,584,America/Los_Angeles
