,CBSA Code,Date,AQI,Category,Defining Parameter,Number of Sites Reporting,city_ascii,state_id,state_name,lat,lng,population,density,timezone
3554,15980,21/02/2022,53,Moderate,PM2.5,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3555,15980,22/02/2022,40,Good,Ozone,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3556,15980,23/02/2022,34,Good,Ozone,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3557,15980,24/02/2022,36,Good,Ozone,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3558,15980,25/02/2022,40,Good,Ozone,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3559,15980,26/02/2022,40,Good,Ozone,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3560,15980,27/02/2022,32,Good,Ozone,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3561,15980,28/02/2022,36,Good,PM2.5,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3562,15980,01/03/2022,41,Good,Ozone,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3563,15980,02/03/2022,64,Moderate,Ozone,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3564,15980,03/03/2022,46,Good,Ozone,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3565,15980,04/03/2022,48,Good,Ozone,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3566,15980,05/03/2022,39,Good,Ozone,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3567,15980,06/03/2022,36,Good,Ozone,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3568,15980,07/03/2022,37,Good,PM2.5,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3569,15980,08/03/2022,33,Good,PM2.5,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3570,15980,09/03/2022,42,Good,PM2.5,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3571,15980,10/03/2022,37,Good,PM2.5,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3572,15980,11/03/2022,52,Moderate,PM2.5,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3573,15980,12/03/2022,42,Good,Ozone,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3574,15980,13/03/2022,44,Good,Ozone,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3575,15980,14/03/2022,49,Good,Ozone,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3576,15980,15/03/2022,38,Good,Ozone,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3577,15980,16/03/2022,26,Good,PM2.5,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3578,15980,17/03/2022,33,Good,Ozone,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3579,15980,18/03/2022,31,Good,Ozone,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3580,15980,19/03/2022,32,Good,PM2.5,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3581,15980,20/03/2022,40,Good,Ozone,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3582,15980,21/03/2022,58,Moderate,Ozone,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3583,15980,22/03/2022,43,Good,Ozone,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3584,15980,23/03/2022,37,Good,PM2.5,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3585,15980,24/03/2022,41,Good,Ozone,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3586,15980,25/03/2022,54,Moderate,Ozone,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3587,15980,26/03/2022,61,Moderate,Ozone,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3588,15980,27/03/2022,58,Moderate,Ozone,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3589,15980,28/03/2022,58,Moderate,Ozone,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3590,15980,29/03/2022,80,Moderate,Ozone,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3591,15980,30/03/2022,51,Moderate,PM2.5,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
3592,15980,31/03/2022,47,Good,PM2.5,2,Cape Coral,FL,Florida,26.6443,-81.9957,649339,690,America/New_York
5994,18880,01/01/2022,25,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
5995,18880,02/01/2022,27,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
5996,18880,03/01/2022,22,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
5997,18880,04/01/2022,24,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
5998,18880,05/01/2022,31,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
5999,18880,06/01/2022,30,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6000,18880,07/01/2022,31,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6001,18880,08/01/2022,33,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6002,18880,09/01/2022,31,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6003,18880,10/01/2022,28,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6004,18880,11/01/2022,33,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6005,18880,12/01/2022,30,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6006,18880,13/01/2022,41,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6007,18880,14/01/2022,35,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6008,18880,15/01/2022,42,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6009,18880,16/01/2022,25,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6010,18880,17/01/2022,32,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6011,18880,18/01/2022,32,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6012,18880,19/01/2022,44,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6013,18880,20/01/2022,39,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6014,18880,21/01/2022,16,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6015,18880,22/01/2022,21,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6016,18880,23/01/2022,35,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6017,18880,24/01/2022,41,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6018,18880,25/01/2022,36,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6019,18880,26/01/2022,31,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6020,18880,27/01/2022,38,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6021,18880,28/01/2022,33,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6022,18880,29/01/2022,36,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6023,18880,30/01/2022,46,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6024,18880,31/01/2022,44,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6025,18880,01/02/2022,48,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6026,18880,02/02/2022,46,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6027,18880,03/02/2022,39,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6028,18880,04/02/2022,22,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6029,18880,05/02/2022,34,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6030,18880,06/02/2022,35,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6031,18880,07/02/2022,23,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6032,18880,08/02/2022,36,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6033,18880,09/02/2022,40,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6034,18880,10/02/2022,51,Moderate,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6035,18880,11/02/2022,49,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6036,18880,12/02/2022,38,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6037,18880,13/02/2022,33,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6038,18880,14/02/2022,40,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6039,18880,15/02/2022,49,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6040,18880,16/02/2022,41,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6041,18880,17/02/2022,34,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6042,18880,18/02/2022,24,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6043,18880,19/02/2022,39,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6044,18880,20/02/2022,41,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6045,18880,21/02/2022,40,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
6046,18880,22/02/2022,37,Good,Ozone,1,Crestview,FL,Florida,30.7477,-86.5785,24687,575,America/Chicago
