Date,AQI,State,Site ID
2010-01-01,43.371428571428574,Florida,0
2010-01-02,36.05555555555556,Florida,0
2010-01-03,35.91428571428571,Florida,0
2010-01-04,40.17142857142857,Florida,0
2010-01-05,40.80555555555556,Florida,0
2010-01-06,42.22857142857143,Florida,0
2010-01-07,45.885714285714286,Florida,0
2010-01-08,43.388888888888886,Florida,0
2010-01-09,43.285714285714285,Florida,0
2010-01-10,47.48571428571429,Florida,0
2010-01-11,48.44444444444444,Florida,0
2010-01-12,48.77142857142857,Florida,0
2010-01-13,52.0,Florida,0
2010-01-14,55.916666666666664,Florida,0
2010-01-15,50.628571428571426,Florida,0
2010-01-16,37.94285714285714,Florida,0
2010-01-17,36.861111111111114,Florida,0
2010-01-18,40.857142857142854,Florida,0
2010-01-19,43.857142857142854,Florida,0
2010-01-20,46.861111111111114,Florida,0
2010-01-21,44.42857142857143,Florida,0
2010-01-22,42.6,Florida,0
2010-01-23,46.19444444444444,Florida,0
2010-01-24,44.91428571428571,Florida,0
2010-01-25,40.65714285714286,Florida,0
2010-01-26,42.583333333333336,Florida,0
2010-01-27,44.77142857142857,Florida,0
2010-01-28,48.142857142857146,Florida,0
2010-01-29,47.55555555555556,Florida,0
2010-01-30,39.457142857142856,Florida,0
2010-01-31,39.08571428571429,Florida,0
2010-02-01,37.416666666666664,Florida,0
2010-02-02,35.72727272727273,Florida,0
2010-02-03,48.88235294117647,Florida,0
2010-02-04,41.8,Florida,0
2010-02-05,34.48571428571429,Florida,0
2010-02-06,36.0,Florida,0
2010-02-07,48.583333333333336,Florida,0
2010-02-08,50.885714285714286,Florida,0
2010-02-09,44.97142857142857,Florida,0
2010-02-10,39.77777777777778,Florida,0
2010-02-11,44.4,Florida,0
2010-02-12,39.2,Florida,0
2010-02-13,40.65714285714286,Florida,0
2010-02-14,46.48571428571429,Florida,0
2010-02-15,45.77142857142857,Florida,0
2010-02-16,38.19444444444444,Florida,0
2010-02-17,43.0,Florida,0
2010-02-18,44.142857142857146,Florida,0
2010-02-19,48.916666666666664,Florida,0
2010-02-20,57.08571428571429,Florida,0
2010-02-21,56.114285714285714,Florida,0
2010-02-22,37.371428571428574,Florida,0
2010-02-23,38.029411764705884,Florida,0
2010-02-24,45.08571428571429,Florida,0
2010-02-25,45.142857142857146,Florida,0
2010-02-26,51.11764705882353,Florida,0
2010-02-27,50.470588235294116,Florida,0
2010-02-28,50.114285714285714,Florida,0
2010-03-01,55.294117647058826,Florida,0
2010-03-02,45.78787878787879,Florida,0
2010-03-03,45.17142857142857,Florida,0
2010-03-04,49.794117647058826,Florida,0
2010-03-05,53.05882352941177,Florida,0
2010-03-06,55.8,Florida,0
2010-03-07,61.88235294117647,Florida,0
2010-03-08,69.03125,Florida,0
2010-03-09,59.885714285714286,Florida,0
2010-03-10,50.08571428571429,Florida,0
2010-03-11,35.55882352941177,Florida,0
2010-03-12,41.25,Florida,0
2010-03-13,52.4,Florida,0
2010-03-14,51.17142857142857,Florida,0
2010-03-15,47.611111111111114,Florida,0
2010-03-16,48.65714285714286,Florida,0
2010-03-17,48.05714285714286,Florida,0
2010-03-18,44.666666666666664,Florida,0
2010-03-19,59.371428571428574,Florida,0
2010-03-20,69.8,Florida,0
2010-03-21,47.166666666666664,Florida,0
2010-03-22,41.285714285714285,Florida,0
2010-03-23,55.8,Florida,0
2010-03-24,73.25,Florida,0
2010-03-25,57.44117647058823,Florida,0
2010-03-26,45.114285714285714,Florida,0
2010-03-27,52.8,Florida,0
2010-03-28,45.470588235294116,Florida,0
2010-03-29,43.970588235294116,Florida,0
2010-03-30,57.30555555555556,Florida,0
2010-03-31,75.22857142857143,Florida,0
2010-04-01,90.11428571428571,Florida,0
2010-04-02,77.91666666666667,Florida,0
2010-04-03,64.37142857142857,Florida,0
2010-04-04,46.82857142857143,Florida,0
2010-04-05,46.25,Florida,0
2010-04-06,45.82857142857143,Florida,0
2010-04-07,44.0,Florida,0
2010-04-08,43.083333333333336,Florida,0
2010-04-09,51.57142857142857,Florida,0
2010-04-10,60.457142857142856,Florida,0
2010-04-11,53.5,Florida,0
2010-04-12,52.542857142857144,Florida,0
2010-04-13,46.48571428571429,Florida,0
2010-04-14,48.75,Florida,0
2010-04-15,61.371428571428574,Florida,0
2010-04-16,50.22857142857143,Florida,0
2010-04-17,46.02777777777778,Florida,0
2010-04-18,45.285714285714285,Florida,0
2010-04-19,53.8,Florida,0
2010-04-20,56.285714285714285,Florida,0
2010-04-21,53.51428571428571,Florida,0
2010-04-22,81.08571428571429,Florida,0
2010-04-23,69.52777777777777,Florida,0
2010-04-24,53.6,Florida,0
2010-04-25,53.25714285714286,Florida,0
2010-04-26,55.97222222222222,Florida,0
2010-04-27,63.48571428571429,Florida,0
2010-04-28,52.25714285714286,Florida,0
2010-04-29,69.30555555555556,Florida,0
2010-04-30,48.457142857142856,Florida,0
2010-05-01,50.0,Florida,0
2010-05-02,53.638888888888886,Florida,0
2010-05-03,51.02857142857143,Florida,0
2010-05-04,46.542857142857144,Florida,0
2010-05-05,50.416666666666664,Florida,0
2010-05-06,52.34285714285714,Florida,0
2010-05-07,49.371428571428574,Florida,0
2010-05-08,51.05555555555556,Florida,0
2010-05-09,54.77142857142857,Florida,0
2010-05-10,49.77142857142857,Florida,0
2010-05-11,50.02777777777778,Florida,0
2010-05-12,47.57142857142857,Florida,0
2010-05-13,47.714285714285715,Florida,0
2010-05-14,46.861111111111114,Florida,0
2010-05-15,43.94285714285714,Florida,0
2010-05-16,36.34285714285714,Florida,0
2010-05-17,33.0,Florida,0
2010-05-18,48.2,Florida,0
2010-05-19,52.0,Florida,0
2010-05-20,54.97222222222222,Florida,0
2010-05-21,46.34285714285714,Florida,0
2010-05-22,43.857142857142854,Florida,0
2010-05-23,41.416666666666664,Florida,0
2010-05-24,48.82857142857143,Florida,0
2010-05-25,36.6,Florida,0
2010-05-26,41.166666666666664,Florida,0
2010-05-27,51.0,Florida,0
2010-05-28,60.08571428571429,Florida,0
2010-05-29,50.333333333333336,Florida,0
2010-05-30,41.57142857142857,Florida,0
2010-05-31,39.114285714285714,Florida,0
2010-06-01,39.97222222222222,Florida,0
2010-06-02,42.4,Florida,0
2010-06-03,38.74285714285714,Florida,0
2010-06-04,37.142857142857146,Florida,0
2010-06-05,43.55882352941177,Florida,0
2010-06-06,47.294117647058826,Florida,0
2010-06-07,59.17142857142857,Florida,0
2010-06-08,60.5,Florida,0
2010-06-09,53.294117647058826,Florida,0
2010-06-10,59.083333333333336,Florida,0
2010-06-11,57.5,Florida,0
2010-06-12,53.02857142857143,Florida,0
2010-06-13,51.37837837837838,Florida,0
2010-06-14,53.794117647058826,Florida,0
2010-06-15,54.88235294117647,Florida,0
2010-06-16,51.861111111111114,Florida,0
2010-06-17,51.48571428571429,Florida,0
2010-06-18,46.82857142857143,Florida,0
2010-06-19,47.027027027027025,Florida,0
2010-06-20,37.88235294117647,Florida,0
2010-06-21,34.38235294117647,Florida,0
2010-06-22,31.0,Florida,0
2010-06-23,35.34285714285714,Florida,0
2010-06-24,34.705882352941174,Florida,0
2010-06-25,36.416666666666664,Florida,0
2010-06-26,46.11764705882353,Florida,0
2010-06-27,43.38235294117647,Florida,0
2010-06-28,44.47222222222222,Florida,0
2010-06-29,42.1764705882353,Florida,0
2010-06-30,36.91428571428571,Florida,0
2010-07-01,30.058823529411764,Florida,0
2010-07-02,34.94117647058823,Florida,0
2010-07-03,36.64705882352941,Florida,0
2010-07-04,41.0,Florida,0
2010-07-05,39.484848484848484,Florida,0
2010-07-06,37.294117647058826,Florida,0
2010-07-07,34.8235294117647,Florida,0
2010-07-08,49.42424242424242,Florida,0
2010-07-09,60.625,Florida,0
2010-07-10,50.6764705882353,Florida,0
2010-07-11,49.806451612903224,Florida,0
2010-07-12,48.75,Florida,0
2010-07-13,51.19444444444444,Florida,0
2010-07-14,49.970588235294116,Florida,0
2010-07-15,44.878787878787875,Florida,0
2010-07-16,48.8,Florida,0
2010-07-17,45.48571428571429,Florida,0
2010-07-18,41.68571428571428,Florida,0
2010-07-19,48.0,Florida,0
2010-07-20,51.114285714285714,Florida,0
2010-07-21,56.371428571428574,Florida,0
2010-07-22,55.67567567567568,Florida,0
2010-07-23,45.588235294117645,Florida,0
2010-07-24,37.23529411764706,Florida,0
2010-07-25,34.62162162162162,Florida,0
2010-07-26,40.371428571428574,Florida,0
2010-07-27,38.68571428571428,Florida,0
2010-07-28,44.91891891891892,Florida,0
2010-07-29,49.142857142857146,Florida,0
2010-07-30,49.48571428571429,Florida,0
2010-07-31,50.810810810810814,Florida,0
2010-08-01,45.77142857142857,Florida,0
2010-08-02,49.31428571428572,Florida,0
2010-08-03,49.027027027027025,Florida,0
2010-08-04,39.51428571428571,Florida,0
2010-08-05,35.05714285714286,Florida,0
2010-08-06,37.86486486486486,Florida,0
2010-08-07,37.31428571428572,Florida,0
2010-08-08,38.48571428571429,Florida,0
2010-08-09,39.69444444444444,Florida,0
2010-08-10,32.142857142857146,Florida,0
2010-08-11,38.74285714285714,Florida,0
2010-08-12,45.08108108108108,Florida,0
2010-08-13,44.114285714285714,Florida,0
2010-08-14,43.97142857142857,Florida,0
2010-08-15,43.21621621621622,Florida,0
2010-08-16,43.17142857142857,Florida,0
2010-08-17,43.48571428571429,Florida,0
2010-08-18,35.21621621621622,Florida,0
2010-08-19,31.457142857142856,Florida,0
2010-08-20,31.514285714285716,Florida,0
2010-08-21,32.5945945945946,Florida,0
2010-08-22,35.088235294117645,Florida,0
2010-08-23,34.5,Florida,0
2010-08-24,43.77777777777778,Florida,0
2010-08-25,46.457142857142856,Florida,0
2010-08-26,32.26470588235294,Florida,0
2010-08-27,32.5,Florida,0
2010-08-28,28.558823529411764,Florida,0
2010-08-29,32.8235294117647,Florida,0
2010-08-30,37.888888888888886,Florida,0
2010-08-31,36.94117647058823,Florida,0
2010-09-01,45.42857142857143,Florida,0
2010-09-02,52.108108108108105,Florida,0
2010-09-03,58.02857142857143,Florida,0
2010-09-04,49.542857142857144,Florida,0
2010-09-05,44.83783783783784,Florida,0
2010-09-06,37.42857142857143,Florida,0
2010-09-07,32.74285714285714,Florida,0
2010-09-08,31.513513513513512,Florida,0
2010-09-09,34.94117647058823,Florida,0
2010-09-10,37.4,Florida,0
2010-09-11,38.810810810810814,Florida,0
2010-09-12,38.0,Florida,0
2010-09-13,49.42857142857143,Florida,0
2010-09-14,50.78378378378378,Florida,0
2010-09-15,43.94285714285714,Florida,0
2010-09-16,38.77142857142857,Florida,0
2010-09-17,42.13513513513514,Florida,0
2010-09-18,41.542857142857144,Florida,0
2010-09-19,48.2,Florida,0
2010-09-20,51.567567567567565,Florida,0
2010-09-21,51.714285714285715,Florida,0
2010-09-22,48.42857142857143,Florida,0
2010-09-23,39.37837837837838,Florida,0
2010-09-24,33.34285714285714,Florida,0
2010-09-25,30.65714285714286,Florida,0
2010-09-26,27.864864864864863,Florida,0
2010-09-27,28.685714285714287,Florida,0
2010-09-28,34.17142857142857,Florida,0
2010-09-29,33.08108108108108,Florida,0
2010-09-30,44.029411764705884,Florida,0
2010-10-01,66.47058823529412,Florida,0
2010-10-02,58.75675675675676,Florida,0
2010-10-03,52.0,Florida,0
2010-10-04,51.1764705882353,Florida,0
2010-10-05,50.861111111111114,Florida,0
2010-10-06,47.857142857142854,Florida,0
2010-10-07,59.65714285714286,Florida,0
2010-10-08,76.08108108108108,Florida,0
2010-10-09,86.20588235294117,Florida,0
2010-10-10,84.94117647058823,Florida,0
2010-10-11,69.29729729729729,Florida,0
2010-10-12,53.22857142857143,Florida,0
2010-10-13,49.08571428571429,Florida,0
2010-10-14,50.37837837837838,Florida,0
2010-10-15,54.68571428571428,Florida,0
2010-10-16,62.8,Florida,0
2010-10-17,56.08108108108108,Florida,0
2010-10-18,56.6,Florida,0
2010-10-19,58.65714285714286,Florida,0
2010-10-20,56.5945945945946,Florida,0
2010-10-21,65.37142857142857,Florida,0
2010-10-22,71.88235294117646,Florida,0
2010-10-23,57.44444444444444,Florida,0
2010-10-24,44.05714285714286,Florida,0
2010-10-25,33.91428571428571,Florida,0
2010-10-26,35.13513513513514,Florida,0
2010-10-27,33.65714285714286,Florida,0
2010-10-28,35.05714285714286,Florida,0
2010-10-29,44.47222222222222,Florida,0
2010-10-30,46.542857142857144,Florida,0
2010-10-31,46.51428571428571,Florida,0
2010-11-01,45.416666666666664,Florida,0
2010-11-02,43.885714285714286,Florida,0
