Year,Observed,State
2010,60.69,Washington
2011,60.16,Washington
2012,58.68,Washington
2013,57.55,Washington
2014,57.22,Washington
2015,55.91,Washington
2016,55.37,Washington
2017,54.01,Washington
2018,53.46,Washington
2019,51.71,Washington
2020,51.49,Washington
2021,50.28,Washington
2022,48.78,Washington
