Year,Observed,State
2010,49.79,California
2011,49.08,California
2012,47.64,California
2013,46.67,California
2014,45.74,California
2015,45.03,California
2016,44.42,California
2017,43.22,California
2018,42.43,California
2019,41.68,California
2020,40.95,California
2021,39.95,California
2022,38.88,California
