Model,CV_R2,CV_MAE,CV_RMSE
Linear Regression,0.23713604793624313,1.80638377298749,2.112058276131526
Random Forest,0.12264216819937768,1.885128521250667,2.4408063103658897
Gradient Boosting,-0.08419368789743105,2.0593866483655026,2.678885235689603
